product_id,product_name,brand,category,price,cost,stock_quantity,created_at,updated_at
21,ProBrand Jeans,ProBrand,Clothing,142,46.49,243,2024-01-10T00:00:00,2024-02-08T00:00:00
22,ClassicMake Jacket,ClassicMake,Clothing,156,78.02,384,2022-07-14T00:00:00,2022-07-27T00:00:00
23,ValueCo Sneakers,ValueCo,Clothing,35,18.95,149,2021-01-02T00:00:00,2021-01-06T00:00:00
24,ClassicMake Dress,ClassicMake,Clothing,160,67.15,376,2022-11-17T00:00:00,2023-01-09T00:00:00
25,ProBrand Sweater,ProBrand,Clothing,184,58.4,445,2024-09-13T00:00:00,2024-10-06T00:00:00
26,Premium Sweater,Premium,Clothing,32,16.76,133,2021-06-03T00:00:00,2021-08-03T00:00:00
27,TechFirst Shorts,TechFirst,Clothing,30,18.61,433,2023-10-29T00:00:00,2024-01-28T00:00:00
28,ValueCo Coffee Maker,ValueCo,Home & Garden,173,69.09,85,2022-03-14T00:00:00,2022-03-23T00:00:00
29,ProBrand Blender,ProBrand,Home & Garden,184,85.13,406,2023-06-08T00:00:00,2023-08-27T00:00:00
30,EcoGoods Blender,EcoGoods,Home & Garden,73,42.63,234,2020-12-23T00:00:00,2020-12-30T00:00:00
31,TechFirst Vacuum,,Home & Garden,261,166.02,388,2020-10-10T00:00:00,2020-11-14T00:00:00
32,ValueCo Vacuum,ValueCo,Home & Garden,190,76.47,320,2024-02-08T00:00:00,2024-03-18T00:00:00
33,EcoGoods Lamp,EcoGoods,Home & Garden,110,62.36,58,2022-07-14T00:00:00,2022-08-16T00:00:00
34,TechFirst Lamp,TechFirst,Home & Garden,37,21.94,307,2020-12-13T00:00:00,2021-01-13T00:00:00
35,TechFirst Lamp,TechFirst,Home & Garden,110,45.92,222,2022-09-25T00:00:00,2022-11-19T00:00:00
36,TechFirst Pillow,TechFirst,Home & Garden,30,20.93,195,2021-12-02T00:00:00,2022-01-25T00:00:00
37,EcoGoods Pillow,EcoGoods,Home & Garden,81,45.26,303,2023-12-01T00:00:00,2024-02-15T00:00:00
38,ValueCo Rug,ValueCo,Home & Garden,135,43.7,119,2024-06-25T00:00:00,2024-08-10T00:00:00
39,TechFirst Plant Pot,TechFirst,Home & Garden,72,50.2,462,2021-07-26T00:00:00,2021-08-06T00:00:00
40,ValueCo Plant Pot,ValueCo,Home & Garden,62,42.23,432,2022-11-06T00:00:00,2022-11-17T00:00:00
41,Premium Yoga Mat,,Sports,27,10.88,447,2020-08-31T00:00:00,2020-11-28T00:00:00
42,ValueCo Yoga Mat,ValueCo,Sports,166,59.35,371,2022-09-24T00:00:00,2022-11-27T00:00:00
43,ProBrand Dumbbell Set,,Sports,162,103.48,168,2022-12-31T00:00:00,2023-03-16T00:00:00
44,ValueCo Running Shoes,ValueCo,Sports,236,93.7,275,2021-04-15T00:00:00,2021-06-12T00:00:00
45,ValueCo Bicycle,,Sports,135,47.08,2,2024-06-03T00:00:00,2024-06-22T00:00:00
46,EcoGoods Bicycle,EcoGoods,Sports,371,165.89,194,2024-08-26T00:00:00,2024-11-28T00:00:00
47,ClassicMake Bicycle,,Sports,377,210.22,236,2022-04-29T00:00:00,2022-06-02T00:00:00
48,EcoGoods Tennis Racket,EcoGoods,Sports,399,165.89,424,2022-04-24T00:00:00,2022-07-15T00:00:00
49,Premium Tennis Racket,Premium,Sports,81,30.17,400,2021-10-19T00:00:00,2021-10-22T00:00:00
50,ProBrand Basketball,ProBrand,Sports,-168,107.57,178,2021-05-10T00:00:00,2021-08-14T00:00:00
51,TechFirst Basketball,TechFirst,Sports,72,45.68,76,2020-02-16T00:00:00,2020-04-05T00:00:00
52,EcoGoods Fiction Novel,EcoGoods,,-48,22.94,106,2024-04-09T00:00:00,2024-04-20T00:00:00
53,ProBrand Fiction Novel,ProBrand,Books,33,16.91,342,2023-11-11T00:00:00,2024-01-31T00:00:00
54,Premium Cookbook,Premium,Books,29,12.3,30,2021-03-10T00:00:00,2021-04-11T00:00:00
55,TechFirst Cookbook,TechFirst,Books,16,9.22,95,2021-05-24T00:00:00,2021-06-10T00:00:00
56,Premium Cookbook,Premium,Books,44,25.37,141,2020-11-14T00:00:00,2021-01-22T00:00:00
57,ClassicMake Self-Help,ClassicMake,Books,38,25.07,371,2021-05-25T00:00:00,2021-06-25T00:00:00
58,ProBrand Self-Help,ProBrand,Books,40,14.03,484,2024-11-22T00:00:00,2024-12-11T00:00:00
59,TechFirst Biography,TechFirst,Books,12,5.31,139,2020-11-12T00:00:00,2021-02-11T00:00:00
60,ProBrand Biography,ProBrand,Books,30,12.7,251,2022-10-05T00:00:00,2022-12-29T00:00:00
61,EcoGoods Technical Manual,EcoGoods,Books,24,12.29,490,2022-04-22T00:00:00,2022-05-19T00:00:00
62,ModernLine Children's Book,ModernLine,Books,27,13.37,452,2023-09-15T00:00:00,2023-11-15T00:00:00
63,ProBrand Children's Book,ProBrand,Books,23,14.14,156,2022-12-07T00:00:00,2023-02-14T00:00:00
64,TechFirst Children's Book,TechFirst,Books,20,12.7,464,2022-06-11T00:00:00,2022-06-26T00:00:00
